standard,name,title
NGSS - Science and Engineering Practices,Developing and Using Models,Develop a model to predict and/or describe phenomena
NGSS - Science and Engineering Practices,Developing and Using Models,Develop a model to describe unobservable mechanisms
NGSS - Science and Engineering Practices,Developing and Using Models,"Develop a model to generate data to test ideas about designed systems, including those representing inputs and outputs."
NGSS - Science and Engineering Practices,Analyzing and Interpreting Data,Analyze and interpret data to determine similarities and differences in findings.
NGSS - Science and Engineering Practices,Analyzing and Interpreting Data,Construct and interpret graphical displays of data to identify linear and nonlinear relationships.
NGSS - Science and Engineering Practices,Analyzing and Interpreting Data,Analyze and interpret data to provide evidence for phenomena.
NGSS - Science and Engineering Practices,Analyzing and Interpreting Data,Analyze displays of data to identify linear and nonlinear relationships.
NGSS - Science and Engineering Practices,Scientific Knowledge is Based on Empirical Evidence,Science knowledge is based upon logical connections between evidence and explanations.
NGSS - Science and Engineering Practices,Scientific Knowledge is Based on Empirical Evidence,Science knowledge is based upon logical and conceptual connections between evidence and explanations
NGSS - Science and Engineering Practices,Scientific Knowledge is Based on Empirical Evidence,Science disciplines share common rules of obtaining and evaluating empirical evidence.
NGSS - Science and Engineering Practices,"Obtaining, Evaluating, and Communicating Information","Gather, read, and synthesize information from multiple appropriate sources and assess the credibility, accuracy, and possible bias of each publication and methods used, and describe how they are supported or now supported by evidence."
NGSS - Science and Engineering Practices,"Obtaining, Evaluating, and Communicating Information",Integrate qualitative scientific and technical information in written text with that contained in media and visual displays to clarify claims and findings.
NGSS - Science and Engineering Practices,"Science Models, Laws, Mechanisms, and Theories Explain Natural Phenomena", Laws are regularities or mathematical descriptions of natural phenomena.
NGSS - Science and Engineering Practices,"Science Models, Laws, Mechanisms, and Theories Explain Natural Phenomena",Science findings are frequently revised and/or reinterpreted based on new evidence.
NGSS - Science and Engineering Practices,Constructing Explanations and Designing Solutions,Construct a scientific explanation based on valid and reliable evidence obtained from sources (including the students’ own experiments) and the assumption that theories and laws that describe the natural world operate today as they did in the past and will continue to do so in the future.
NGSS - Science and Engineering Practices,Constructing Explanations and Designing Solutions,Construct an explanation that includes qualitative or quantitative relationships between variables that predict phenomena.
NGSS - Science and Engineering Practices,Constructing Explanations and Designing Solutions,Construct an explanation that includes qualitative or quantitative relationships between variables that describe phenomena.
NGSS - Science and Engineering Practices,Constructing Explanations and Designing Solutions,"Apply scientific ideas to construct an explanation for real-world phenomena, examples, or events."
NGSS - Science and Engineering Practices,Constructing Explanations and Designing Solutions,"Apply scientific principles to design an object, tool, process or system."
NGSS - Science and Engineering Practices,Constructing Explanations and Designing Solutions,"Apply scientific ideas or principles to design, construct, and test a design of an object, tool, process or system."
NGSS - Science and Engineering Practices,Constructing Explanations and Designing Solutions,"Undertake a design project, engaging in the design cycle, to construct and/or implement a solution that meets specific design criteria and constraints."
NGSS - Science and Engineering Practices,Planning and Carrying Out Investigations (investigations that use multiple variables) ,"Plan an investigation individually and collaboratively, and in the design: identify independent and dependent variables and controls, what tools are needed to do the gathering, how measurements will be recorded, and how many data are needed to support a claim."
NGSS - Science and Engineering Practices,Planning and Carrying Out Investigations (investigations that use multiple variables) ,Conduct an investigation and evaluate the experimental design to produce data to serve as the basis for evidence that can meet the goals of the investigation.
NGSS - Science and Engineering Practices,Planning and Carrying Out Investigations (investigations that use multiple variables) ,Conduct an investigation to produce data to serve as the basis for evidence that meet the goals of an investigation.
NGSS - Science and Engineering Practices,Planning and Carrying Out Investigations (investigations that use multiple variables) ,Collect data to produce data to serve as the basis for evidence to answer scientific questions or test design solutions under a range of conditions.
NGSS - Science and Engineering Practices,Asking Questions and Defining Problems,"Ask questions that can be investigated within the scope of the classroom, outdoor environment, and museums and other public facilities with available resources and, when appropriate, frame a hypothesis based on observations and scientific principles."
NGSS - Science and Engineering Practices,Asking Questions and Defining Problems,Ask questions to identify and clarify evidence of an argument.
NGSS - Science and Engineering Practices,Asking Questions and Defining Problems,"Define a design problem that can be solved through the development of an object, tool, process or system and includes multiple criteria and constraints, including scientific knowledge that may limit possible solutions."
NGSS - Science and Engineering Practices,Engaging in Argument from Evidence,Construct and present oral and written arguments supported by empirical evidence and scientific reasoning to support or refute an explanation or a model for a phenomenon or a solution to a problem.
NGSS - Science and Engineering Practices,Engaging in Argument from Evidence,"Construct, use, and present oral and written arguments supported by empirical evidence and scientific reasoning to support or refute an explanation or a model for a phenomenon."
NGSS - Science and Engineering Practices,Engaging in Argument from Evidence,Use an oral and written argument supported by evidence to support or refute an explanation or a model for a phenomenon.
NGSS - Science and Engineering Practices,Engaging in Argument from Evidence,Use an oral and written argument supported by empirical evidence and scientific reasoning to support or refute an explanation or a model for a phenomenon or a solution to a problem.
NGSS - Science and Engineering Practices,Engaging in Argument from Evidence,Construct an oral and written argument supported by empirical evidence and scientific reasoning to support or refute an explanation or a model for a phenomenon or a solution to a problem.
NGSS - Science and Engineering Practices,Engaging in Argument from Evidence,Evaluate competing design solutions based on jointly developed and agreed-upon design criteria.
NGSS - Science and Engineering Practices,Using Mathematics and Computational Thinking (identifying patterns in large data sets),Use mathematical representations to describe and/or support scientific conclusions and design solutions.
NGSS - Science and Engineering Practices,Using Mathematics and Computational Thinking (identifying patterns in large data sets),Use mathematical representations to support scientific conclusions and design solutions.
